i_episode,score,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
36,236.943377814,0.7800000000000004,0.885128821272,1.01809796617,0.0,0.0100890254484,2.30847309313,0.01,0.279953887394,0.0241844760819,-5.27933630996,0.000251030832175,-28.8281864486,0.0,899.966107791,0.00255590105299,900.000370749,900.000258289
37,238.205364796,0.7200000000000003,1.5943269909,1.01456584945,0.0,0.00998104523555,3.47774559166,0.01,1.79973138477,0.0376406993539,-3.33738439145,0.000229375953403,-28.8242550758,0.0,899.982693402,-0.000781608268589,899.998728765,899.999449134
38,237.20225721,0.5400000000000001,1.59265873062,1.0035575378,0.0,0.0100001174072,1.3445969219,0.01,2.18308908636,0.00311121975717,-5.04079133413,0.000237938371863,-28.8093930463,0.0,899.907245215,0.00384394032224,900.000348669,900.00127421
39,236.864297273,0.4200000000000001,1.00921833021,0.998465246799,0.0,0.00990769782531,0.428247812175,0.01,-3.00283214191,-0.00532448104259,-4.70948042962,-6.85435152379e-05,-28.6674767864,0.0,898.837327673,0.000615579272397,899.996927821,899.998447932
40,235.750015637,0.4200000000000001,0.757452340986,0.995818878218,0.0,0.0099051439413,0.127252086635,0.01,-3.57499554851,-0.0110519519952,-5.31862158032,-0.000470245605471,-28.5944359412,0.0,896.37333124,-0.0012798216507,900.000307913,899.997230563
41,235.124375466,0.6000000000000002,0.190625928192,1.00459526932,0.0,0.00987465954513,2.59296525337,0.01,-1.65348759548,-0.00646536027091,-6.64936244995,2.86287594141e-05,-28.7628304024,0.0,899.260171735,-0.00107849823662,899.998709345,900.002745971
42,244.026569266,1.2000000000000006,5.97840673104,1.06079631755,0.0,0.00979435024456,2.01501081729,0.01,6.37956848803,0.107772272846,-1.0914111822,0.000395262740533,-9.21458462811,0.0,0.21553287764,-0.000908469102417,900.000775789,900.001585431
43,98.2530579754,5.0399999999999805,4.22549628085,2.39159407346,73.6946496121,6.28202348638,6.18217331577,0.01,2.23313020543,0.340337015735,17.1149301583,-0.00111676729456,-0.0224814982788,0.0,-0.000356501579898,0.000206620778385,900.000632843,900.001886204
44,93.1085563065,5.0399999999999805,-0.985916259713,2.6272868149,73.7769333998,0.000308403711448,0.00999950728604,0.01,-0.676330258326,0.449781741869,17.2204513277,-0.00208862820569,-1.02791429026e-07,0.0,-0.00365338481412,0.0005556041784,899.998672373,900.003278444
45,223.53133982,5.0399999999999805,4.51144272253,2.33107581772,17.394961733,6.27763348424,1.2998814401,0.01,1.90834561519,0.319024741797,-15.4237969101,-0.00307748909872,28.8353505325,0.0,0.002419225906,899.999672606,899.999685694,900.0016077
46,234.036548209,0.6000000000000002,0.0722237674645,1.00729828386,0.0,0.0100522155167,2.78860678315,0.01,-2.68644978782,0.0197781583037,-3.97077153862,1.02822884345e-05,28.7682159816,0.0,0.00345147303849,896.982104745,899.999205889,899.998063817
47,236.159699787,0.4200000000000001,0.960702549258,0.996906096291,0.0,0.00995059488819,1.10056125259,0.01,0.220588760726,-0.00227041275115,-4.39986497456,-0.000198895060436,28.6937557887,0.0,-0.00153177444959,899.996668411,899.998938044,899.999865676
48,233.648425468,0.6600000000000003,-0.041127680397,1.00872592714,0.0,0.0099843318397,4.50403329916,0.01,-2.17495646501,0.00295060121616,-6.25595035219,0.00012395621086,28.8239923319,0.0,-0.00606819519488,899.730428109,899.998941363,900.00287596
49,235.396200268,0.36000000000000004,0.705106205475,0.995736391814,0.0,0.00995951574561,2.9865915972,0.01,-1.65195126925,-0.0126061991349,-4.83849356602,-0.000217715459623,28.49366014,0.0,-0.00130057537788,900.001932922,900.001024513,900.00104745
50,233.783016731,0.48000000000000015,0.149500539366,0.999149046114,0.0,0.00991828145655,6.15911101204,0.01,-0.69074278941,-0.00685493170755,-5.47399972824,-0.000512625105195,28.7687501197,0.0,0.00174524265986,899.949845663,900.00226318,899.999420556
51,237.370088172,0.7200000000000003,1.27452105962,1.01289406258,0.0,0.0102593897576,5.29343329099,0.01,0.961052831089,0.0067000431471,-6.43011738103,0.00090552974105,28.8320053402,0.0,-0.0043823634012,899.988005051,899.997995514,900.001057206
52,237.849455299,0.6600000000000003,1.54255430885,1.01033470269,0.0,0.0100217413041,3.34034034442,0.01,-0.258325473398,0.0159727385413,-4.92990499222,4.00071062204e-05,28.8305655356,0.0,-7.08049283615e-05,899.949611467,900.002461745,900.003610201
53,235.318817181,0.36000000000000004,0.648992215526,0.996131795281,0.0,0.00998130258573,2.91848294035,0.01,-1.83175744902,-0.0107721612749,-4.65471065698,-0.000116576761429,28.4936367833,0.0,-0.00222561620382,900.001111958,900.000535074,899.999125611
54,234.543230717,0.4200000000000001,0.496466741126,0.995380775005,0.0,0.00999033569419,4.90304601896,0.01,-1.16374521885,-0.0249273250582,-6.68499015519,-6.83444526759e-05,28.6896370305,0.0,-0.00208565018099,899.736087065,900.000673408,900.000535994
55,233.698211446,0.5400000000000001,0.0827157989415,1.00308813604,0.0,0.00985959050522,1.38355226564,0.01,-1.3003190058,0.0174144638101,-3.60633638342,-0.000694519993319,28.8110171837,0.0,-0.000279364408487,899.997130559,900.004024818,900.00018001
56,234.528541809,0.7200000000000003,0.187393287834,1.01217879501,0.0,0.00992708832291,5.74873883286,0.01,-0.267706335067,0.00968597425354,-6.18858328071,-0.000197885963375,28.8272144037,0.0,-0.000851122878666,899.933706985,900.001797041,900.000700578
