time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.72912226043e-05,0.000113659937416,10.0090140053,0.0238483218692,0.00510994655807,0.0,-0.0016169126315,0.00686070704361,0.300410889257,0.0523091952977,-0.0259917855838,0.0,497.5806832426182,495.6746582716058,494.3478787977261,498.1868429361593
0.12000000000000001,-0.000245620976033,0.00109577942389,10.0326938679,0.0272535245327,0.00535175510686,0.0,-0.00570668071146,0.0262617483674,0.488845573491,0.0568915208668,-0.0419431436585,0.0,465.8978420222563,464.64888371230296,463.1612605552684,463.5232437010971
0.18,-0.000717419252771,0.003396932777,10.0701825863,0.0319734241736,0.0036467011096,0.0,-0.00979071617295,0.0510263877616,0.760621011645,0.0682693164601,-0.0332022851617,0.0,488.3619538424849,489.0127847137789,488.4182758588064,489.2682389874321
0.23999999999999996,-0.0013804920282,0.00703685164405,10.115573811,0.038336147355,0.00696950197583,0.0,-0.0126205422412,0.070866615291,0.75240400901,0.0505332650624,-0.059685575154,0.0,403.10241193267467,400.7011690202105,402.5507518564291,400.94611417159877
0.3,-0.00226322323026,0.0120262868071,10.1619712139,0.0416904400619,0.00536816649025,0.0,-0.0166407447213,0.0957666667661,0.794135305569,0.0429992531924,-0.0454257335852,0.0,417.7286315776103,418.967860996123,419.513324222575,418.8602803006147
0.36000000000000004,-0.00336809714283,0.0186955469833,10.2138128604,0.0445209665809,0.00267086388258,0.0,-0.0198955870514,0.126849686839,0.933802095597,0.036185742654,-0.0444283544297,0.0,449.8768986532128,449.9564903023037,450.72242207222064,450.1723473663763
0.4200000000000001,-0.00460843361007,0.0272473805004,10.2731195176,0.0467043075293,0.000334640654098,0.0,-0.0212016813174,0.158431413573,1.04298148724,0.0366896733663,-0.0392271860787,0.0,439.65570238744664,440.0853469771834,441.9709703719617,442.0131043521075
0.48000000000000015,-0.00587997627106,0.0375420182012,10.3347164942,0.0500630134275,6.28141731544,0.0,-0.0210153571522,0.184991238608,1.01026668362,0.0473351110419,-0.0460452785987,0.0,393.02013614179936,392.38659546847356,394.6284685521241,395.6108474136764
0.5400000000000001,-0.00713620430117,0.0497310040181,10.3991686571,0.0535259400471,0.00600357021705,0.0,-0.0217241628661,0.221660040826,1.13799783044,0.0548628916457,-0.0828202475788,0.0,448.19257147358627,445.1915537326193,446.91462938292756,447.5292501088306
0.6000000000000002,-0.00858124085786,0.0644868026308,10.4765663689,0.0578974521527,0.00226671109018,0.0,-0.0259330231426,0.270774243129,1.44155794378,0.0422166814983,-0.0718009190463,0.0,499.554216581865,500.3527321404435,498.4979785586441,497.57446859927353
0.6600000000000003,-0.0101703128014,0.0819652186784,10.5664977775,0.0607023917458,6.28152983651,0.0,-0.0266352444213,0.312115551173,1.55598572586,0.0468536699984,-0.0799112169408,0.0,443.4054558611364,442.7343636235459,444.5875521086372,444.96835858406234
0.7200000000000003,-0.011720990353,0.101895483265,10.6618139895,0.0641620999463,6.27756416233,0.0,-0.0246610124563,0.352562742493,1.62110364541,0.0367506724838,-0.0710657502272,0.0,427.7253387755251,428.47298725612825,429.4512773036489,428.59467702565416
0.7800000000000004,-0.0130404516201,0.124659889531,10.7663708975,0.0664061773032,6.27330789707,0.0,-0.0187980540896,0.406497655942,1.86373353372,0.0380253374027,-0.0707291040959,0.0,482.4442595100829,482.466249402112,483.66381141086754,483.7603176595875
0.8400000000000004,-0.0139914195864,0.150576292662,10.8833926854,0.0687792460006,0.00243810501571,0.0,-0.0142465473497,0.457623744158,2.0366814437,0.0403502320854,-0.02733624658,0.0,461.64693926444204,465.0559218210673,463.29297264606697,463.476397631375
0.9000000000000005,-0.0148863484405,0.179330842675,11.0066932823,0.0714894008898,0.000791359923642,0.0,-0.0154317748856,0.501098124397,2.07324858048,0.0451614483185,-0.0277289906634,0.0,421.12366166779077,421.0894589476312,420.75741601864183,421.1747770971342
0.9600000000000005,-0.0158297473732,0.21079918187,11.132945195,0.0743418728114,0.00160076177757,0.0,-0.0160774141217,0.548104196582,2.13500639758,0.0482710426069,-0.0116601127642,0.0,428.178547253149,429.5432854655013,430.01805729595816,430.2827162227008
1.0200000000000005,-0.0168247985879,0.245198181798,11.2636356705,0.077295386385,0.00110298652787,0.0,-0.0170369478466,0.598803540691,2.22114640706,0.0499536102814,-0.00779456476317,0.0,437.6863702500532,438.00807323037384,437.42477918204213,437.566381589013
1.0800000000000005,-0.0178715279506,0.282535523412,11.3970772014,0.0875302267515,0.00278358478792,0.0,-0.0179892366035,0.646696631041,2.22680205114,0.0192583922388,0.00710618203556,0.0,410.6563503254695,411.9759870078901,413.41597520528614,410.7035615926546
1.1400000000000006,-0.0190258236835,0.323386020877,11.5357815306,0.101096857572,0.00572630303679,0.0,-0.0207994446596,0.716516784219,2.39616025193,-0.0205521468053,0.0233245993242,0.0,463.4092798972872,464.6822366390475,465.9450510429461,462.82238180881757
1.2000000000000006,-0.0204558987129,0.368787841332,11.6858047623,0.0999286516001,0.0152143739579,0.0,-0.0280292126346,0.796676209922,2.60414605398,-0.0187139723655,-0.00905347193632,0.0,478.0351038823723,475.5614911657061,476.4517409328474,476.59231111546467
1.2600000000000007,-0.022579166597,0.418953939661,11.8479071617,0.104927356082,0.033180066261,0.0,-0.0448881159312,0.87601267379,2.79867963884,0.0072158165438,-0.0573970600125,0.0,475.2556576966622,471.53555343014307,473.0713740052598,475.0638278693761
