time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.48000000000000015,0.995222240123,1.01496607911,0.0,1.10746928293,0.33054859119,0.01,-0.0316844958868,0.0731062135753,-4.5617783921,-1.12323437715,-0.665720480866,0.0,-103.714561353,74.3792318679,-105.345209792,-65.4270287945
0.48000000000000015,0.995189570072,1.01514223026,0.0,1.11076538133,0.332730940231,0.01,-0.032046393032,0.0743581687043,-4.56112079382,-1.12456475083,-0.667189515367,0.0,-104.162371746,74.7190573391,-105.442935428,-65.6621890892
0.48000000000000015,0.99523900805,1.01509071585,0.0,1.1144034031,0.32998224446,0.01,-0.0317432201964,0.0742931945127,-4.56131078101,-1.12685849584,-0.664907984177,0.0,-103.959517794,74.5319759347,-105.698933396,-65.5335200522
0.48000000000000015,0.995279766455,1.01414995402,0.0,1.06870841353,0.33421372115,0.01,-0.0308256918792,0.0665969916285,-4.56430526683,-1.10455852088,-0.669220540496,0.0,-102.853730998,72.9934105037,-104.974787991,-66.3523910524
0.48000000000000015,0.995114445673,1.01483331764,0.0,1.09411826656,0.339000904946,0.01,-0.0322991266614,0.0717395983531,-4.56209400622,-1.11624934542,-0.67303399391,0.0,-103.464750764,73.6043811522,-105.640611229,-66.7820075725
0.48000000000000015,0.995201080204,1.01455206631,0.0,1.08058593486,0.340062326658,0.01,-0.0316593879993,0.0695233610562,-4.56259965506,-1.11000108897,-0.673503622746,0.0,-103.920644783,73.5473994312,-104.987221026,-66.3008329475
0.48000000000000015,0.995024460595,1.01443976371,0.0,1.05869683702,0.3363991292,0.01,-0.0318937303488,0.0669700871728,-4.56348235402,-1.09751658388,-0.672528557606,0.0,-102.172185481,73.1733817625,-104.524096737,-67.0619423922
0.48000000000000015,0.995331721951,1.01381213343,0.0,1.04401070423,0.317986662779,0.01,-0.0294363089357,0.0625347219176,-4.56589242151,-1.09160166587,-0.657305100423,0.0,-101.221581492,73.1990487583,-103.657975452,-65.4120049278
0.48000000000000015,0.995296057141,1.01428344945,0.0,1.05845661517,0.315611360405,0.01,-0.0299221776272,0.06598352958,-4.56424749813,-1.09777404317,-0.654958863572,0.0,-101.55864671,73.8183222072,-104.05012211,-66.0358751648
0.48000000000000015,0.995152278927,1.01481297045,0.0,1.07167019782,0.319105412873,0.01,-0.0309705624166,0.0693749130368,-4.56217751071,-1.10413751604,-0.658054793888,0.0,-102.321231059,74.5333568061,-104.260800783,-65.7407526912
